MemTotal:       16373452 kB
MemFree:        10814764 kB
MemAvailable:   15134524 kB
Buffers:          148372 kB
Cached:          4299500 kB
SwapCached:            0 kB
Active:           770804 kB
Inactive:        3999604 kB
Active(anon):     378716 kB
Inactive(anon):        0 kB
Active(file):     392088 kB
Inactive(file):  3999604 kB
Unevictable:       46756 kB
Mlocked:           43684 kB
SwapTotal:       3145724 kB
SwapFree:        3145724 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:             39296 kB
Writeback:             0 kB
AnonPages:        335848 kB
Mapped:           351952 kB
Shmem:             47452 kB
KReclaimable:     274020 kB
Slab:             374392 kB
SReclaimable:     274020 kB
SUnreclaim:       100372 kB
KernelStack:        4632 kB
PageTables:         7540 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    11332448 kB
Committed_AS:    2387120 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       42072 kB
VmallocChunk:          0 kB
Percpu:             2208 kB
HardwareCorrupted:     0 kB
AnonHugePages:    114688 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      164992 kB
DirectMap2M:     6121472 kB
DirectMap1G:    12582912 kB
