MemTotal:       16330124 kB
MemFree:        11823080 kB
MemAvailable:   15045952 kB
Buffers:          135480 kB
Cached:          3171576 kB
SwapCached:            0 kB
Active:          1064048 kB
Inactive:        2851068 kB
Active(anon):     662616 kB
Inactive(anon):        0 kB
Active(file):     401432 kB
Inactive(file):  2851068 kB
Unevictable:       45724 kB
Mlocked:           42652 kB
SwapTotal:       3145724 kB
SwapFree:        3145724 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:             39756 kB
Writeback:             0 kB
AnonPages:        653872 kB
Mapped:           350980 kB
Shmem:             47208 kB
KReclaimable:     231020 kB
Slab:             325816 kB
SReclaimable:     231020 kB
SUnreclaim:        94796 kB
KernelStack:        4504 kB
ShadowCallStack:    1120 kB
PageTables:         7892 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    11310784 kB
Committed_AS:    2748988 kB
VmallocTotal:   135288315904 kB
VmallocUsed:       38868 kB
VmallocChunk:          0 kB
Percpu:             1840 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:    124928 kB
FilePmdMapped:         0 kB
CmaTotal:          32768 kB
CmaFree:           26624 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
