MemTotal:       16330088 kB
MemFree:        11821032 kB
MemAvailable:   15032840 kB
Buffers:          134652 kB
Cached:          3163848 kB
SwapCached:            0 kB
Active:          1011024 kB
Inactive:        2849848 kB
Active(anon):     617540 kB
Inactive(anon):        0 kB
Active(file):     393484 kB
Inactive(file):  2849848 kB
Unevictable:       44940 kB
Mlocked:           41868 kB
SwapTotal:       3145724 kB
SwapFree:        3145724 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:             39376 kB
Writeback:             0 kB
AnonPages:        607396 kB
Mapped:           353012 kB
Shmem:             48604 kB
KReclaimable:     229124 kB
Slab:             322016 kB
SReclaimable:     229124 kB
SUnreclaim:        92892 kB
KernelStack:        4380 kB
ShadowCallStack:    1124 kB
PageTables:         7824 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    11310768 kB
Committed_AS:    2778292 kB
VmallocTotal:   135288315904 kB
VmallocUsed:       35216 kB
VmallocChunk:          0 kB
Percpu:             1808 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:          32768 kB
CmaFree:           25768 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
