MemTotal:       16373452 kB
MemFree:        10778164 kB
MemAvailable:   15091972 kB
Buffers:          148304 kB
Cached:          4293472 kB
SwapCached:            0 kB
Active:           770048 kB
Inactive:        3995400 kB
Active(anon):     378440 kB
Inactive(anon):        0 kB
Active(file):     391608 kB
Inactive(file):  3995400 kB
Unevictable:       46756 kB
Mlocked:           43684 kB
SwapTotal:       3145724 kB
SwapFree:        3145724 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:             39248 kB
Writeback:             0 kB
AnonPages:        331584 kB
Mapped:           350476 kB
Shmem:             46032 kB
KReclaimable:     272752 kB
Slab:             373520 kB
SReclaimable:     272752 kB
SUnreclaim:       100768 kB
KernelStack:        4596 kB
PageTables:         7380 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    11332448 kB
Committed_AS:    2382572 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       41968 kB
VmallocChunk:          0 kB
Percpu:             2224 kB
HardwareCorrupted:     0 kB
AnonHugePages:    112640 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      150656 kB
DirectMap2M:     4038656 kB
DirectMap1G:    14680064 kB
