MemTotal:       16373448 kB
MemFree:        10774252 kB
MemAvailable:   15093004 kB
Buffers:          148192 kB
Cached:          4298628 kB
SwapCached:            0 kB
Active:           801096 kB
Inactive:        3999408 kB
Active(anon):     409768 kB
Inactive(anon):        0 kB
Active(file):     391328 kB
Inactive(file):  3999408 kB
Unevictable:       46888 kB
Mlocked:           43816 kB
SwapTotal:       3145724 kB
SwapFree:        3145724 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:             39332 kB
Writeback:             0 kB
AnonPages:        373816 kB
Mapped:           352456 kB
Shmem:             47356 kB
KReclaimable:     273968 kB
Slab:             373756 kB
SReclaimable:     273968 kB
SUnreclaim:        99788 kB
KernelStack:        4516 kB
PageTables:         7480 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    11332448 kB
Committed_AS:    2395424 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       41920 kB
VmallocChunk:          0 kB
Percpu:             2240 kB
HardwareCorrupted:     0 kB
AnonHugePages:    141312 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      142464 kB
DirectMap2M:     5095424 kB
DirectMap1G:    13631488 kB
